Food Type,low_1994-98,low_1999-00,low_2001-02,low_2003-04,low_2005-06,low_2007-08,high_1994-98,high_1999-00,high_2001-02,high_2003-04,high_2005-06,high_2007-08
Legumes,7.7,6.95,6.88,5.63,6.59,5.46,5.91,6.38,5.38,5.5,5.22,5.58
Dairy; total,219.3,204.78,192.32,204.16,204.45,201.9,221.05,228.84,228.41,216.76,215.83,217.71
Fluid milk; total,150.75,133.67,125.29,131.53,132.03,128.24,143.76,144.63,142.32,133.68,131.11,131.81
Fluid milk; 1% fat,10.56,9.83,10.89,11.05,11.24,13.46,17.15,20.6,18.72,17.45,17.18,17.03
Fluid milk; 2% fat,45.04,37.95,38.22,40.75,40.97,44.86,49.35,48.55,45.38,42.61,42.13,41.97
Fluid milk; skim,16.09,17.33,12.17,11.54,13.83,12.27,24.84,25.77,25.3,23.4,21.64,23.67
Fluid milk; whole,69.9,56.05,54.81,55.27,52.09,43.32,40.74,38.71,37.55,34.84,33.45,31.61
Butter,2.38,2.23,1.69,2.29,2.41,2.55,2.85,3.19,3.3,3,3.01,3.22
Cheese,15.59,17.41,17.09,17.69,17.82,19.01,19.1,21.17,22.01,22.05,23.29,23.62
Yogurt,2.08,3.16,2.59,4.51,5.25,6.3,4.93,5.48,6.68,7.05,8.51,9.26
Dairy; other,4.2,4.98,6.45,9.01,8.77,9.5,6.07,7.57,9.42,12.34,13.07,13.28
Meat poultry and fish; total,139.66,138.44,136.03,136,140.14,137.24,140.09,150.94,151.63,155.09,151.75,151.45
Meat; total,86.12,78.63,77.26,77.04,78.7,75.28,80.21,87.19,85.3,84.16,80.84,81.3
Beef,50.75,47.21,46.59,46.2,47.65,44.84,47.63,51.15,50.37,48.84,48.06,47.61
Pork,34.02,31.06,29.52,30.05,30.35,29.96,31.64,34.63,34.21,34.43,31.98,32.75
Poultry; total,45.66,51.58,52.21,51.22,53.1,53.83,50.24,53.52,55.11,59.43,60.21,59.31
Chicken,37.97,43.14,44.66,44.39,46.04,46.27,40.94,44.74,45.6,49.81,51.28,49.87
Turkey,7.7,8.21,7.02,6.73,6.92,7.45,9.28,8.99,9.88,9.69,9,9.51
Finfish and shellfish,8.1,8.52,7.49,8.24,8.69,8.48,9.54,9.96,10.57,11.18,10.54,10.6
Eggs,20.89,18.87,17.8,19.25,18.97,18.61,17.15,20.06,21.15,20.4,20.08,19.22
Grains; total,126.63,127.78,126.63,124.66,124.53,129.97,136.06,144.13,137.76,136.66,136.49,138.89
Corn flour,13.83,13.02,14.33,14.5,17,15.22,10.52,11.57,11.48,12.02,11.48,12.37
Oat flour,2.86,2.21,2.05,2.31,2.21,2.22,3.09,2.85,3.02,2.96,2.94,3.14
Rice dried,12.54,11.79,12.84,12.39,12.59,12.15,9.76,10.71,10.33,10.81,11.25,11.93
Wheat flour,90.37,92.88,89.37,87.15,84.23,91.09,105.37,110.31,103.65,100.93,100.49,100.56
Fat and oils; total,44.16,49.78,55.57,58.35,57.02,60.63,48.83,57.31,64.82,66.37,66.57,67.99
Margarine,4.94,4.6,3.76,2.75,2.19,2.31,5.69,5.1,4.29,3.43,2.79,2.85
Salad and cooking oils,16.26,18.65,22.16,25.18,26.96,33.01,18.34,23,27.38,28,30.47,36.33
Shortening,10.64,12.91,15.84,15.25,12.04,9.48,11.61,13.99,17.38,17.61,14.7,10.35
Oils; other,1.01,1.05,0.94,0.96,1.07,1.02,1.07,1.13,1.05,1.03,1.48,1.3
Caloric sweeteners,84.61,89.97,85.44,84.04,81.9,81.07,85.38,86.81,86.93,82.81,83.03,78.75
Nuts; total,5.41,5.98,5.57,6.7,5.78,5.85,7.61,8.84,9.22,9.9,9.59,10.35
Peanuts,4.39,4.78,4.15,4.94,4.21,4.46,5.61,5.95,6.14,6.56,6.87,6.65
Tree nuts,0.92,1.17,1.44,1.72,1.58,1.44,2.04,2.92,3.07,3.37,2.72,3.66
